isocode	motorway	pmary	residential	secondary	serviceother	tertiary	trunk	unclassified
DM	0.0	663111.0	408026.5	183949.0	579896.0	152470.0	0.0	180807.5
JE	0.0	796673.5	34238.5	255226.5	557194.0	86790.5	0.0	325840.5
BL	0.0	97383.0	62541.0	34924.0	30936.0	25590.0	0.0	2649.0
IO	0.0	0.0	19435.0	0.0	43379.0	80420.0	0.0	4757.0
BM	0.0	289033.5	270378.0	49902.0	123867.0	15306.0	0.0	91550.0
SC	0.0	387322.0	236027.5	119429.5	200148.0	75294.0	22305.0	26447.0
WS	0.0	1105995.0	369737.5	197656.0	1338499.5	203539.5	0.0	160858.0
BN	90455.0	36352.5	159419.75	90477.0	50936.25	103184.25	111861.5	46042.25
MS	0.0	95365.0	84631.0	0.0	49030.0	33147.5	0.0	30568.0
VG	0.0	239953.0	24027.0	3012.0	50969.5	29104.0	0.0	12021.0
PN	0.0	0.0	0.0	0.0	18086.0	0.0	0.0	385.0
GG	0.0	1440580.0	68626.0	100466.0	253530.5	102514.0	0.0	238461.0
WF	0.0	0.0	111223.0	0.0	61637.0	172491.5	0.0	13382.0
NR	0.0	50748.0	19549.0	0.0	39606.0	2550.0	0.0	7033.0
BH	409813.0	819519.5	1845097.5	601901.0	537396.0	1136389.5	58260.5	551317.5
CY	1467100.5	3396923.5	6883613.0	3873667.0	10059397.0	4560075.5	898460.5	2646463.5
IE	5218927.5	11275698.0	9835362.0	24379560.0	32622150.0	34347020.0	5270379.5	50727276.0
NU	0.0	0.0	11650.0	117810.0	111600.0	90872.0	0.0	11796.0
FX	66783384.0	186260208.0	229297216.0	232579488.0	780539712.0	476838048.0	37581888.0	444244224.0
NC	141634.5	3527643.5	1093591.0	1670477.5	6089199.0	1245937.0	0.0	852104.5
AL	976285.5	4728684.0	5406578.0	3517845.75	9510767.0	7874412.0	552657.0	3761587.0
PE	3081843.0	54418716.0	41141580.0	25572168.0	18545140.0	49189892.0	60272028.0	17834636.0
CN	630167808.0	940861632.0	142735600.0	522293632.0	115110272.0	641874880.0	194932096.0	152445824.0
BY	2912517.5	40027732.0	32622252.0	5992153.0	105551072.0	102532064.0	10319780.0	33485580.0
TK	0.0	0.0	1596.0	0.0	1455.0	0.0	0.0	0.0
LU	881040.75	2578341.0	1688697.0	3748239.75	10007078.0	786590.75	58311.0	759863.0
PT	17536884.0	43397352.0	51760840.0	16944776.0	105276600.0	53389180.0	9144664.0	31190672.0
IL	1867651.0	9154023.0	17053964.0	5072904.5	38207992.0	11266254.0	7678655.0	2641368.5
SS	0.0	14873658.0	4041925.5	8788445.0	24127358.0	7553680.5	647003.0	9123574.0
KR	25246766.0	48591276.0	29627546.0	45860472.0	26216948.0	39718740.0	19824398.0	10421207.0
SR	0.0	1486933.25	2285915.75	868288.5	4080955.75	1248857.5	0.0	326666.0
NP	0.0	4889696.0	12228163.0	7653545.0	61592288.0	19164270.0	5398508.0	36422640.0
AT	12547925.0	31634142.0	46443952.0	26398062.0	269856544.0	34357512.0	1341194.5	40036476.0
SK	2618860.5	10455576.0	17140824.0	7483098.0	72172456.0	21108514.0	1499930.0	3604361.5
UA	969409.5	51181296.0	136945776.0	59416100.0	210963328.0	132970856.0	29028334.0	112721560.0
SE	12134190.0	36039252.0	43339476.0	39649816.0	157166208.0	132433840.0	25488752.0	101792736.0
QA	1608632.5	3292313.5	3224606.5	1485321.5	5052826.5	2296188.5	1057988.5	1857014.0
ES	90611840.0	88411608.0	152407536.0	79774736.0	569381568.0	201559600.0	54004008.0	105470672.0
AU	20101162.0	127305456.0	130195952.0	150309232.0	268675872.0	212485792.0	110079224.0	275401984.0
KG	206277.0	4902534.0	16676600.0	3922369.25	11323084.0	11049737.0	6793773.0	6549789.0
UZ	0.0	11926414.0	35233396.0	9572316.0	23149210.0	21402884.0	12414579.0	24141386.0
CV	0.0	3657944.5	770588.0	674819.0	2198214.5	645889.0	223834.0	299916.0
ER	0.0	613299.0	948351.5	1262956.0	920121.25	1381826.5	3509708.0	1199867.0
RO	3965481.5	35663240.0	74530240.0	57290880.0	102694152.0	45584252.0	16274914.0	16679030.0
TT	289600.5	1908598.5	6913083.0	1540574.0	1504816.5	840264.0	414859.5	365401.5
KE	380158.5	8420230.0	7602509.0	16611459.0	23964316.0	23680238.0	9567703.0	30032930.0
GY	0.0	1587545.0	1905558.0	1082967.5	1600877.25	1038295.0	0.0	438979.75
